Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
Ecuador,ECU,47100,47100,47200,47200,47300,47300,47400,47350,47950,48550,49150,49750,50350,51680,53850,55550,58350,60050,61900,64780,67590,69600,70950,72550,74200,75800,77210,77260,77530,78460,79140,79530,79750,81290,81080,79870,80120,80270,80750,80660,77850,74900,72500,75270,75000,74440,74120,74450,75343.99902,74977.00195,73461.00098,75068.99902,75130,56017.00195,57883.99902,55160,,,,,,,
"Egypt, Arab Rep.",EGY,25680,25050,24900,25060,26720,27800,28010,28010,28350,28430,28520,28550,28550,28430,28250,27300,26350,25400,24470,24450,24680,24452.3999,24347.3999,24582.6001,24970,25670,25470,25810,25710,26480,26430,29962.80029,32460,32460,32830,31764.59961,32449.19922,32596.20117,34830,32910,33380,34240,34090,34780,35230,35330,35380,35420,36890,36710,36200,36960,37309.69971,37151.89941,37898.70117,37337.7002,,,,,,,
Euro area,EMU,1353090.999,1351851.001,1349883,1343201.001,1338847,1334923.999,1333810.999,1325944.001,1326786.001,1312330,1292325.999,1287658,1282035.001,1278347,1274546.001,1266762.999,1265353.002,1265602.001,1262008.999,1258085,1256969.998,1255173.999,1245012.998,1242298.999,1240166.999,1237373.999,1235634,1227989,1228377.005,1223673.007,1191968.003,1264854.008,1286347.007,1282053.004,1265823.993,1267498.008,1261533.997,1261435.999,1259428.995,1269080.802,1253370.21,1245379.191,1234678.095,1228778.105,1231114.305,1216684.592,1205833.195,1208290.2,1199519.008,1198599.003,1186786.693,1182911.207,1178109.484,1162943.701,1161176.3,1152904.087,,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74000,74060,74070,73380,73600,74670,74670,75300,75320,75320,75670,75000,75220,75720,75720,75720,75920,75920,75920,75920,75920,75920,75920,75920,,,,,,,
Spain,ESP,332300,332320,331370,327530,326940,321560,323820,321590,325270,321190,326840,325680,322800,320780,319210,315160,315900,314780,313550,312380,312060,311910,307910,306280,307120,306100,306010,305780,307010,304720,303710,302790,300330,301830,297190,301390,300590,299580,297780,297660,295200,294190,291530,290710,291640,286130,280040,281420,279700,275450,270140,269420,267331.9922,265780,265765,262656.9922,,,,,,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13740,13200,11010,9910,10050,10230,10430,10010,9860,8900,6982.000122,8287.000122,7704.000244,8819.000244,8985,9145.999756,9067.999878,9317.999878,9487.999878,9460,9559.000244,9650,9740,9930,10030,,,,,,,
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305400,304720,305000,305000,304920,305080,306760,306620,306054.0039,304980,316070,331010,335910,342190,350770,345130,349850,356830,363251.9922,364880,362590,362590,362590,362590,,,,,,,
European Union,EUU,1903850.999,1901451.001,1896423,1889541.001,1882497,1878273.999,1876230.999,1868654.001,1868496.001,1853190,1832485.999,1826378,1819545.001,1815077,1810126.001,1804532.999,1802383.002,1801942.001,1797038.999,1791965,1789069.998,1786823.999,1775912.998,1773528.999,1769866.999,1766383.999,1764554,1756109,1752467.005,1747633.007,1714968.003,1808124.008,1870427.007,1866343.004,1849493.993,1845818.008,1839743.997,1834065.999,1831758.995,1828630.802,1805720.21,1787169.191,1769138.095,1757998.105,1757194.305,1740204.592,1718563.195,1722491.2,1712565.008,1701387.004,1691757.693,1682427.208,1671231.483,1654758.701,1653049.299,1641579.087,,,,,,,
Fragile and conflict affected situations,FCS,4584945.117,4599290,4627219.102,4641010.703,4661731.289,4636669.883,4661698.711,4672829.492,4738480.313,4707964.688,4698725.586,4668520,4722610,4680140,4673620,4684850,4644050,4634180,4636000,4671880,4640440,4659250,4671970,4713410,4742870,4804810,4808770,4821450,4821250,4844500,4885765,4898925,4995645,5025485,5057725,5079415,5098055,5111235,5134320,5146275,5161152,5187822,5222392,5218335,5301760,5306529,5334049,5330675,5295188.284,5323227,6320983.586,6338226.255,6339146.317,6342026.555,6343495.755,6343605.755,,,,,,,
Finland,FIN,27656.99951,27851.00098,28065,28256.00098,28415,28593.99902,28733.99902,28861.00098,27655,27241.99951,27036.99951,26136.99951,25821.00098,26053.99902,26138.00049,26118.99902,25976.00098,25851.00098,25675,25360,25166.99951,24876.99951,24503.99902,24256.99951,24083.99902,23933.99902,24080,23731.99951,23858.00049,23930,24248.00049,24065,23836.99951,24118.99902,22440,22180,21500,21920,22013.99902,22180,22220,22360,22460,22530,22738.00049,23008.00049,22948.99902,22963.99902,22965,22918.99902,22866.00098,22851.00098,22585,22671.00098,22733.99902,22750,,,,,,,
Fiji,FJI,2270,2270,2280,2280,2230,2230,2210,2190,2210,2210,2210,2300,2350,2400,2450,2600,2700,2800,2850,2900,3000,3100,3200,3300,3450,3500,3650,3800,3950,4100,4240,4350,4350,4330,4400,4400,4400,4300,4280,4280,4280,4280,4280,4280,4280,4280,4270,4280,4276.000061,4250,4250,4250,4250,4250,4250,4250,,,,,,,
France,FRA,345390,344400,343540,341090,340010,338460,336290,331780,331730,324950,326230,325150,324600,324420,323570,320210,319100,319610,318340,317220,316870,316460,315650,315080,314420,313950,313530,308300,307409.0039,305928.0078,304849.0039,303843.0078,302913.0078,302049.0039,301501.9922,300963.0078,300395.9961,299800,299290.9961,298074.0039,297133.0078,296106.9922,295345.9961,294584.0039,293904.0039,293126.9922,292060.9961,291100.9961,290199.0039,289263.0078,288785.9961,288448.0078,287736.9922,287665,287269.0039,287180.1953,,,,,,,
Faroe Islands,FRO,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,220,220,220,220,220,220,220,220,,,,,,,
Gabon,GAB,51950,52100,52250,52400,52550,52700,52350,52500,52150,51800,52000,51650,51350,51500,51690,51540,51770,51990,51500,51520,51520,51520,51520,51520,51520,51520,51520,51520,51520,51570,51570,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,,,,,,,
United Kingdom,GBR,198000,197790,197470,197030,195850,195500,195540,194260,193800,188490,188430,187560,186960,186380,185830,185680,184900,184780,184520,184690,183200,182810,182160,182020,181680,181300,181160,184230,183060,182030,181430,180700,175340,174090,173790,174940,175850,175180,172190,169640,169530,169760,169560,170510,169560,178380,176470,176840,173250,172240,171640,171820,172501.9922,172320,171380,173499.8047,,,,,,,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32290,31280,30970,30480,30350,30370,30450,29990,30000,30030,30040,30060,24920,25200,25180,25170,25140,24980,24600,24423.99902,24350,24861.00098,24160.60059,24181.00098,23940,,,,,,,
Ghana,GHA,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,118000,118000,119000,120000,120000,120000,120000,122000,122000,123000,124000,124000,124000,125000,125000,126050,127200,127200,128000,129000,131000,133000,136280,140300,141800,144300,145100,146310,148350,151000,151000,153000,154000,156000,156000,156200,157200,157000,157000,157000,157000,157000,,,,,,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,146200,146190,145950,145710,145480,145240,145000,144760,144520,144290,144050,143810,143570,143340,143200,142960,142720,142480,142450,142210,141970,141730,141590,141360,141220,140980,140740,140810,140570,141410,140490,140550,140520,140480,140240,139170,138000,137150,135400,134890,135400,137400,138450,139300,141210,141300,141800,142400,142500,143000,143000,144000,145000,145000,145000,145000,,,,,,,
"Gambia, The",GMB,5240,5250,5260,5270,5280,5290,5310,5310,5330,5340,5370,5420,5470,5740,5680,5670,5740,5810,5700,5630,5850,6060,5870,5730,5730,5820,5890,6040,5860,5860,5920,5580,5570,5570,5570,5570,5570,5520,5520,5520,5400,5170,5070,5150,5270,4950,4950,5520,6030,6150,6150,6050,6050,6050,6050,6050,,,,,,,
Guinea-Bissau,GNB,13580,13580,13580,13580,13580,13580,13680,13680,13680,13680,13680,13680,13730,13780,13780,13780,13790,13790,13800,13830,13900,14030,14130,14400,14480,14150,14100,14000,14370,14470,14470,14470,14670,14770,14860,14920,15370,15370,15880,16280,16280,16090,16000,16100,16100,16100,16100,16100,16100,16300,16300,16300,16300,16300,16300,16300,,,,,,,
Equatorial Guinea,GNQ,3140,3190,3240,3250,3250,3290,3290,3290,3290,3290,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3240,3240,3240,3240,3140,3140,3090,2940,2940,2840,2840,2840,2840,2840,2840,,,,,,,
Greece,GRC,89100,89020,90210,89910,86780,90900,91130,91430,91440,91550,91550,91600,91430,91410,91180,91150,91120,91750,91810,91800,92060,92060,91820,92090,91840,91800,91770,91790,92150,92220,91640,91670,91600,91700,91640,91720,89850,87820,86700,85290,84380,83430,82520,80800,80050,78630,77530,76570,75600,74890,73960,72830,71530,62010,61990,61360,,,,,,,
Grenada,GRD,220,220,220,220,220,220,220,220,220,220,220,200,200,200,200,200,200,190,190,160,160,160,160,160,140,140,130,130,130,130,120,120,120,120,110,110,110,110,120,120,130,130,120,120,70,70,70,70,80,80,80,80,80,80,80,80,,,,,,,
Greenland,GRL,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2353.000031,2356.000061,2358.999939,2361.999969,2365,2368.000031,2371.000061,2373.999939,2376.999969,2380,2383.000031,2386.000061,2388.999939,2391.999969,2395,2398.000031,2401.000061,2403.999939,2406.999969,2410,2413.000031,2416.000061,2418.999939,2421.999969,2425,2428.000031,2431.000061,2433.999939,2430.700073,2430.800018,2431.000061,2431.100006,,,,,,,
Guatemala,GTM,26460,26580,26700,26820,26940,27060,27280,27400,27420,27550,27670,28000,28430,28750,28880,29300,29930,30050,30160,30500,30670,31040,31190,37850,37850,37850,37850,42850,42850,42850,42850,42850,44820,45120,45120,45120,45220,44300,44400,44650,44950,45250,50640,48000,45620,43000,44140,41380,40435.40039,39620.80078,38906.20117,38091.59912,37206.99951,37938.00049,38560,38560,,,,,,,
Guam,GUM,160,160,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,180,180,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,190,190,180,180,180,180,180,180,180,180,,,,,,,
Guyana,GUY,13590,13590,13590,13590,13590,13640,13640,13660,13660,13710,13710,13740,13760,13760,13780,14580,15420,16260,17150,17150,17150,17150,17250,17280,17280,17300,17300,17300,17320,17320,17340,17340,17340,17340,17340,17340,17340,17340,17350,17080,17080,17080,17080,17080,16780,16780,16780,16780,16780,16780,16780,16780,16800,16800,16900,17000,,,,,,,
High income,HIC,13352723,13338413,13337210,13333887,13335938,13341306,13359715,13333881,13364349,13357928,13337529,13337399,13346148,13340952,13332308,13342808,13242870,13195417,13222896,13236859,13229979,13209709,13133972,13204024,13252210,13283047,13286216,13343258,13336086.01,13353443.01,13305099,13411495.01,13453387.01,13579514,13562325.99,13608324.01,13625333,13715653,13670183.99,13694951.8,13674822.71,13523420.69,13435263.39,13410753.51,13459939,13301390.22,13211959.92,13131547.14,12994997.98,12850247.69,12906367.15,12889767.32,12764034.89,12866790.75,12438100.25,12477281.29,,,,,,,
"Hong Kong SAR, China",HKG,140,140,140,130,130,130,130,130,130,130,120,120,120,120,100,100,90,80,80,80,90,90,90,90,90,90,90,90,80,80,80,80,80,80,80,80,70,70,70,70,70,70,70,70,70,60,60,60,60,55,55,50.99999905,50.99999905,50.99999905,50.99999905,50,,,,,,,
Honduras,HND,29800,29900,29950,30000,30050,30150,30250,30300,30300,30400,30450,30800,30900,30960,31350,31700,32450,32570,32570,32570,32640,32690,32700,32770,32780,32850,32850,32850,33710,33200,33420,33550,35480,35200,34800,34800,33950,33950,33370,29350,29360,30280,31530,31400,31500,31600,31600,31840,31980,32300,32300,32350,32350,32350,32350,32350,,,,,,,
Heavily indebted poor countries (HIPC),HPC,5322480,5328660,5343410,5354930,5362100,5366810,5372480,5386390,5394560,5397940,5418640,5429500,5432270,5436110,5452470,5464440,5477360,5494120,5502600,5512880,5530800,5540290,5555600,5570250,5589790,5609210,5611640,5627540,5639240,5660710,5681410,5697920,6101490,6128440,6152630,6182750,6217470,6241190,6276350,6299080,6334409.204,6356580.801,6399516.699,6422976.1,6502309.2,6511635.798,6539916,6586153.184,6615315.684,6640317.999,7353372.283,7384482.361,7392594.124,7390823.563,7390535.562,7390875.562,,,,,,,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24040,22720,23120,23320,19350,19410,20480,20320,11690,11780,11810,11960,11760,12110,12300,12020,12890.99976,12995.99976,13338.00049,13260.99976,13310,15673.00049,15088.00049,15375.99976,15440,,,,,,,
Haiti,HTI,16600,16650,16700,16750,16800,16850,16900,16950,17000,17050,17100,15840,15830,15830,15830,15850,15850,15950,15950,16000,16000,16000,16000,16000,16000,16000,16000,15990,15980,15970,15960,15750,15750,15950,15900,15900,16900,16900,16900,16900,16700,16700,16700,16700,16700,16700,18200,17700,17963.29956,18700,18300,17700,18400,18400,18400,18400,,,,,,,
Hungary,HUN,70830,70120,69840,69790,69530,69270,69140,69030,68880,68750,68550,68460,68350,67820,67700,67570,67290,66980,66510,66270,66010,65820,65710,65540,65390,65230,65110,64970,64840,64740,64600,61360,61300,61220,61790,61840,61950,61930,61860,58540,58650,58490,58650,58640,58630,58090,58070,57900,57830,53430,53370,53380,52570,52640,52640,52830,,,,,,,
IBRD only,IBD,17441920.4,17530112.5,17612741.7,17684203.2,17769257.4,17861235.3,17942790.8,18052717,18201913.4,18276394.1,18415831.8,18527374.3,18640032.9,18773688.7,18864065.4,18822550.2,18938911.4,19028580.1,19121515.1,19176615.4,19223997.9,19362795.3,19515085.8,19678583.8,19859739.5,19996401,20134988,20232632,20341539,20472192,20579093,26088970.8,26111664,26155132,26173420,26192117.54,26334535.17,26361406.17,26387606.97,26387452.97,26345632.94,26337596.06,26211056.46,26316577.27,26180593.02,26201117.1,26224723.83,26244038.06,26267393.36,26348286.66,26384728.22,26418498.44,26528035.34,26565918.83,26700229.01,26664606.96,,,,,,,
IDA & IBRD total,IBT,24439135.52,24544662.5,24666850.8,24764143.9,24882268.69,24951225.18,25057959.51,25176016.49,25372853.71,25426663.79,25554127.39,25640574.3,25816552.9,25903407.7,25998245.4,25967650.2,26045311.4,26142460.1,26231302.1,26331600.4,26352345.9,26533601.3,26682455.8,26906296.8,27139111.5,27329547,27491741,27605494,27738089,27887675,28040296,33991754.8,34426420,34516228,34585713,34636346.54,34823092.17,34879210.17,34962529.97,34990400.97,34976223.14,34999599.86,34935489.16,35066776.37,35017333.22,35060971.9,35121227.83,35168732.25,35182898.04,35303049.66,36357475.5,36433627.79,36539573.46,36576682.38,36711882.97,36684314.61,,,,,,,
IDA total,IDA,6997215.117,7014550,7054109.102,7079940.703,7113011.289,7089989.883,7115168.711,7123299.492,7170940.313,7150269.688,7138295.586,7113200,7176520,7129719,7134180,7145100,7106400,7113880,7109787,7154985,7128348,7170806.001,7167370.002,7227712.998,7279371.999,7333146,7356753.001,7372862.002,7396549.998,7415482.999,7461203,7902784.002,8314755.999,8361096.001,8412292.998,8444229,8488557.002,8517803.999,8574923.001,8602948.001,8630590.204,8662003.801,8724432.699,8750199.1,8836740.2,8859854.795,8896503.996,8924694.185,8915504.681,8954763.005,9972747.274,10015129.35,10011538.12,10010763.55,10011653.96,10019707.65,,,,,,,
IDA blend,IDB,1442245.117,1452090,1475099.102,1491000.703,1522051.289,1499979.883,1519658.711,1517919.492,1561390.313,1536574.688,1518935.586,1477440,1539170,1493349,1491170,1489840,1447120,1437490,1432642,1466375,1426338,1459870,1443162,1493755,1523408,1560622,1576280,1571070,1584860,1579999,1606948,1894407,1903067,1920805,1946710,1946464,1956910,1962945,1982954,1986522,1975129,1984401,1995844,1993951,2002349,2012701,2014029,2001261,1964872,1978266,2000616,2012316,2001896,2001566,2001066,2007486,,,,,,,
Indonesia,IDN,386000,386000,385500,385500,385000,384500,384500,384500,384000,384000,383500,383500,383000,383000,382560,380460,380460,380460,380000,380000,379500,379500,379000,370520,396790,412920,434850,441370,444350,450830,415240,413510,420160,419710,429780,429680,435270,438770,458770,471770,477000,481810,510060,533660,518460,515000,530000,540000,556000,556000,565000,565000,570000,570000,570000,570000,,,,,,,
IDA only,IDX,5554970,5562460,5579010,5588940,5590960,5590010,5595510,5605380,5609550,5613695,5619360,5635760,5637350,5636370,5643010,5655260,5659280,5676390,5677145,5688610,5702010,5710936.001,5724208.002,5733957.998,5755963.999,5772524,5780473.001,5801792.002,5811689.998,5835483.999,5854255,6008377.002,6411688.999,6440291.001,6465582.998,6497765,6531647.002,6554858.999,6591969.001,6616426.001,6655461.204,6677602.801,6728588.699,6756248.1,6834391.2,6847153.795,6882474.996,6923433.185,6950632.681,6976497.005,7972131.274,8002813.352,8009642.119,8009197.551,8010587.956,8012221.654,,,,,,,
Isle of Man,IMN,325,325,322.0000076,317.9999924,320,310,311.0000038,312.0000076,316.0000038,316.0000038,316.0000038,320,324.0000153,327.9999924,332.0000076,337.0000076,340.9999847,345,349.0000153,354.0000153,357.9999924,362.9999924,365.9999847,370,374.0000153,379.0000153,382.9999924,387.0000076,390.9999847,395.9999847,400,404.0000153,407.9999924,412.9999924,417.0000076,420.9999847,425,430,434.0000153,437.9999924,442.0000076,454.0000153,457.7000046,457.9999924,461.1000061,423.6000061,421.1999893,442.7999878,434.1999817,433.8000107,426.1000061,384.0000153,387.9999924,389.0000153,404.0000153,397.9999924,,,,,,,
India,IND,1749520,1764820,1761540,1767120,1771770,1775300,1778070,1783640,1777920,1780520,1778170,1779460,1787510,1792820,1796940,1796490,1795910,1805920,1805800,1802720,1804010,1807710,1804620,1814520,1813400,1811920,1815430,1810910,1815010,1814130,1815860,1813050,1813820,1812910,1809450,1805890,1809810,1808740,1810210,1809750,1804870,1805600,1802490,1803750,1801260,1799060,1796200,1797570,1800680,1795730,1796700,1796420,1796980,1797210,1797210,1797210,,,,,,,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,56400,56470,56710,56660,56620,56350,56540,56740,56910,56670,56720,56820,56820,56920,57150,57170,57220,57270,57220,57270,57320,57270,57040,56960,57050,56940,56690,56630,56550,56490,44420,44130,44040,43900,43890,43410,44310,44160,44180,44120,44100,43730,43700,43050,43020,42600,42760,42001.00098,41890,45680,45550,45330,44770,44660,44300,44460,,,,,,,
"Iran, Islamic Rep.",IRN,592710,592900,593500,594100,594700,594800,595500,596000,596700,597000,601540,608000,614810,609600,604400,599500,596930,588670,599080,577130,582800,588670,592100,595400,603700,607000,610300,618710,617000,615000,629970,637870,641520,641570,642080,644270,638320,647870,636870,628840,638230,640440,642650,644860,476310,478520,480730,466850,466861.9922,465393.9844,463926.0156,462458.0078,459540,459540,459540,459540,,,,,,,
Iraq,IRQ,88000,88550,89100,88650,89200,89250,89800,89850,89900,89930,89990,91600,91700,92800,92850,92850,92850,93890,94390,94390,94390,94500,94500,94500,94650,94800,94800,95300,92300,92300,96300,95500,98700,93500,91000,91000,86600,89000,87500,83000,84900,88400,86900,86900,93900,89900,91400,81900,78500,82200,85500,85685,88637.5,92690,93000,93000,,,,,,,
Iceland,ISL,21200,21200,21200,21200,21200,21200,21200,21200,21200,20010,19910,19810,19710,19600,19500,19400,19310,19210,19110,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19010,19010,19010,19000,19000,18990,18970,18950,18910,18890,18890,18890,18870,18850,18840,18820,18810,18760,18760,18750,18740,18731.99951,18721.99951,18721.99951,18721.99951,18720,18720,,,,,,,
Israel,ISR,5110,5050,5220,5250,5140,5250,5250,5210,5230,5250,5270,5270,5370,5450,5400,5300,5310,5330,5330,5330,5380,5400,5530,5640,5750,5790,5770,5760,5750,5790,5780,5770,5770,5790,5730,5640,5630,5620,5590,5660,5610,5630,5510,5135,5145,5087.999878,5180.999756,5155.999756,5225.999756,5045,5170,5262.000122,5202.999878,5377.000122,5339.000244,5320,,,,,,,
Italy,ITA,206830,206520,205100,204620,204400,204050,203790,203550,202270,201800,176490,175080,174820,175020,175170,175290,175010,175890,176080,175620,175510,175360,172600,172440,170950,170420,170120,168390,168500,168400,160540,159780,159100,157020,153330,153490,153450,154840,157990,156370,155020,152730,149070,148830,147360,142030,141620,144572.002,139824.0039,143277.998,138525.9961,137290,136300,131620,129450,127170,,,,,,,
Jamaica,JAM,5330,5350,5350,5330,5070,5170,5170,5170,5170,5070,5070,5070,5070,5070,5070,5070,5070,5070,4970,4970,4970,4870,4770,4770,4770,4770,4770,4770,4770,4760,4760,4760,5030,5000,4970,4940,4890,4840,4820,4790,4790,4740,4740,4720,4670,4670,4640,4490,4490,4440,4440,4440,4440,4440,4440,4440,,,,,,,
Jordan,JOR,10840,10860,10870,10910,10920,10940,10970,10990,11000,11040,11050,11090,11100,11140,11150,11170,11180,11220,11250,11270,11175.99976,11240.99976,11380,10500.99976,11178.00049,11258.00049,11560,11650,11498.00049,10401.99951,10104.00024,11206.99951,10900,10720,11140,10510,10610,10660,10670,10690,10220,10250,10050,10370,10130,10180,9632.999878,9725,10250,10022.99988,10025.99976,10449.00024,10565.99976,10640,10563.00049,10659.59961,,,,,,,
Japan,JPN,71100,71200,70200,70300,70040,68960,68380,67970,66520,66960,65410,64840,64470,64150,62730,62360,62150,61940,61740,60610,60420,60260,60110,59960,58790,58580,58400,58170,57290,56930,56540,56150,55740,55330,54430,53990,53540,53100,52710,52580,47930,47630,47360,47140,46920,46710,46500,46280,46090,45930,45610,45490,45380,45180,44960,44710,,,,,,,
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2214630,2217470,2216510,2171865,2154735.938,2156917.969,2153297.969,2150752.969,2153932.969,2144855.938,2134689.063,2130014.063,2126705,2122860,2118765,2114355.938,2108514.063,2107832.969,2171617.969,2169885,2170120.938,2169940.938,2169920,2169920,2169920,,,,,,,
Kenya,KEN,252000,252050,252100,252150,252200,252250,252300,252350,252400,252450,252500,252550,252600,252650,255720,255780,255800,255800,255800,255800,255800,255800,255800,255050,263540,263730,264350,266620,270530,267700,268770,270720,268400,272320,272180,264510,265940,264580,268760,266710,268390,268180,268740,269920,270020,270540,270700,270850,272850,273200,276300,277300,276300,276300,276300,276300,,,,,,,
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100880,101200,103730,104390,106410,106610,106900,107260,107140,107760,107760,108400,107700,107450,107310.9961,107285.9961,107272.002,106172.998,106119.0039,106085,105912.998,105567.002,105570.9961,105570,105410,,,,,,,
Cambodia,KHM,35180,35330,35420,35950,36270,36270,36290,35770,34770,34190,24500,24500,24500,25000,25000,25500,25500,26000,26000,26500,26500,26800,26900,26910,29900,32900,37000,41500,44350,44550,45100,45150,45310,45700,45700,45800,45800,46300,46400,47700,48900,50000,51000,52300,53560,53550,53550,53550,53550,54550,54550,54550,54550,54550,54550,54550,,,,,,,
Kiribati,KIR,390,390,430,430,430,430,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,390,390,390,390,390,390,390,390,390,370,370,370,370,370,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,,,,,,,
St. Kitts and Nevis,KNA,200,200,200,200,200,200,200,200,180,150,150,150,150,150,150,150,150,150,150,150,150,140,140,130,130,120,120,120,120,120,120,120,120,100,100,90,90,90,100,95,93.00000191,81.00000381,81.00000381,80.29999733,50,50.10000229,50.90000153,50.99999905,55,56.99999809,60,60,60,60,60,60,,,,,,,
"Korea, Rep.",KOR,21130,20810,21000,21910,22780,23150,23360,23430,23370,23240,22990,22700,22710,22680,22720,22700,22670,22630,22520,22470,22450,22430,22360,22290,22200,22170,22190,22140,21970,21790,21610,21360,21180,20960,20480,20080,19830,19690,19540,19730,19450,19190,19020,18930,18810,18580,18400,18170,17950,17730,17560.99976,17880,17686.99951,17483.00049,17360,17008.00049,,,,,,,
Kuwait,KWT,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1360,1360,1360,1370,1370,1380,1380,1410,1410,1410,1410,1410,1420,1420,1420,1430,1430,1430,1440,1480,1510,1510,1510,1500,1500,1500,1510,1510,1515,1520,1525,1520,1536.000061,1521.000061,1493.999939,1500,,,,,,,
Latin America & Caribbean (excluding high income),LAC,5291780,5345700,5397790,5445280,5485380,5526580,5562300,5618610,5710930,5733690,5796870,5845630,5886740,5937549,5984060,6020510,6065550,6086750,6121372,6151235,6180348,6224220,6266932,6298690,6322248,6373092,6408770,6432800,6461560,6522779,6570378,6590797,6626637,6633364.004,6713220,6751664,6766970,6786515,6803444,6805192,6795629,6809291,6857714,6934066,6981217.938,7014749,7045989,7069899,7070690.697,7106398.805,7125880.199,7151501.611,7216919.013,7231234.705,7228129.013,7218834.018,,,,,,,
Lao PDR,LAO,15500,15500,15000,14500,14500,14600,14600,14700,14720,14770,14820,15120,15320,15550,15680,15800,15900,15980,16050,16060,16090,16170,16200,16300,16350,16380,16400,16500,16520,16600,16620,16640,16650,16900,17000,17000,17560,17650,17730,18060,18410,18760,19110,19460,19850,20250,20630,21040,21680,22200,22765,22990,23350,23690,23690,23690,,,,,,,
Lebanon,LBN,5620,5700,5700,5800,5960,5960,6060,6160,6200,6250,6300,6350,6450,6400,6350,6300,6250,6190,6130,6010,5980,5980,5980,5980,5990,6000,6040,6040,6040,6050,6060,6060,6060,6070,6090,6180,6220,6260,5825,5950,5980,6160,6270,6382.999878,6530,6790,6770.999756,6630,6630,6400,6510,6580,6580,6580,6580,6580,,,,,,,
Liberia,LBR,25830,25810,25810,25780,25780,25750,25750,25730,25730,25710,25710,25710,25710,25710,25710,25710,25760,25760,25760,25760,25760,25800,25850,25860,25880,25970,26030,26000,26000,24930,25000,25000,25000,25000,25000,25000,25200,25600,25900,26100,26100,26100,26100,26150,26150,26150,26150,26300,26500,26600,27050,27100,27000,27000,27000,27000,,,,,,,
Libya,LBY,111700,113830,115850,117930,119950,122030,124050,126150,128200,130250,132350,134380,136450,138480,140550,142580,144650,146730,148750,150800,151850,152920,154050,154150,154270,154350,154400,154400,154450,154550,154600,154650,154650,154750,155150,156660,156660,154500,154500,154500,154500,154500,154500,153850,153850,153850,153850,153850,153850,153510,153510,153550,153550,153500,153500,153500,,,,,,,
St. Lucia,LCA,170,170,180,180,180,180,190,190,190,190,200,200,200,198.9999962,200,200,200,200,202.0000076,205,207.9999924,210,212.0000076,215,217.9999924,212.0000076,210,210,210,208.9999962,197.9999924,197.0000076,197.0000076,195,180,173.9999962,170,155,153.9999962,141.9999981,138.9999962,131.0000038,123.9999962,111.0000038,108.9999962,101.0000038,98.99999619,101.0000038,106.0000038,106.0000038,106.0000038,106.0000038,106.0000038,106.0000038,106.0000038,106.0000038,,,,,,,
